Comment,Designator,Footprint,LCSC,Quantity
1k,R18,R_0402_1005Metric,C11702,1
STM32F401CBUx,U1,QFN-48-1EP_7x7mm_P0.5mm_EP5.6x5.6mm,C118825,1
OPA350,U5,SOIC-8_3.9x4.9mm_P1.27mm,C13388,1
220p,C15,C_0402_1005Metric,C1530,1
JST SH,J1,JST_SH_SM04B-SRSS-TB_1x04-1MP_P1.00mm_Horizontal,C160404,1
4.7u,C1,C_0402_1005Metric,C23733,1
100,"R3,R4,R5,R6",R_0402_1005Metric,C25076,4
100k,"R12,R13,R14,R15,R16,R17,R19,R2,R20,R21,R22,R23,R24,R25",R_0402_1005Metric,C25741,14
10k,"R10,R11,R9",R_0402_1005Metric,C25744,3
5k1,"R7,R8",R_0402_1005Metric,C25905,2
PRTR5V0U2X,D1,SOT-143,C2827688,1
USB_C sink board 1.3mm,J5,USB4510031A,C3019717,1
100n,"C10,C14,C16,C17,C6,C7,C8,C9",C_0402_1005Metric,C307331,8
1u,"C11,C12,C13",C_0402_1005Metric,C52923,3
XC6206PxxxMR,U3,SOT-23,C5446,1
74HC4051,"U4,U6",TSSOP16,C5645,2
500mA,F_USBC1,Fuse_1206_3216Metric,C70076,1
8 MHz,Y1,Resonator_SMD_Murata_CSTxExxV-3Pin_3.0x1.1mm,C907975,1
